ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
ไ:อ|ซ|ิ|น|เ:จ:อ|ร:์|	e|i:s|i|n|g:e|r|
ส|แ:ค:บ|แ|ล|น|ด:์|	s|c:a|b|l|a:n|d|
เ:ร|อ:เ|น|	r|e|n:e|
เ:ค:ิ|ร:์|ท|	k:u|r|t:h|
เ:ฮ:็|ต|	h:e|t:t|
แ:ม:็|ต:ส:์|	m:a|t:z|
เ:อ|ล|ม:่:า|	e|l|m:a|
เ:พ|น|เ:น:ิ|ก|	p|e:n|n:o|c:k|
โ|ก|ล|ด:์|ส|ไ:ต|น:์|	g|o|l|d|s|t:e:i|n|
แ:ด|เ:ว|ิ:น|ท|ร:ี:่|	d|a:v:e|n|t|r:y|
ช|ู|เ:ล:อ|ร:์|	s:c:h|o:u|l:e|r|
ล|ิ|ส|ก:้:า|	l|i|s|k:a|
อ:ี|เ:ล:ิ|่:น|	e|l:o|n|
เ:จ|ม|ิ|ก|น|า|น|ี:่|	g|e:m|i|g|n|a|n|i|
ไ:ล:เ|อ|ล|	l:y|e|l:l|
บ|ร:ู|เ:ค:อ|ร:์|	b|r:o:o|k:e|r|
ค|อ|บ|บ|ิ:ง|	c|o|b|b|i:n:g|
ล|อ:ว:์|	l|a:w|
เ|ล|ย:์|เ:อ:า|ต:์|	l|a|y|o:u|t|
เ:ม|ม|ฟ:ิ|ส|	m|e:m|p:h:i|s|
เ|ท|อ:ร|ิ|ก|อ|ย:ด:์|	p|t:e|r|y|g|o|i:d|
เ:ซ|น|ต:์|	s:a:i|n|t|
ฮ|อ|ป|	h|o|p|
ส|ป|ร|ิ|ต|เ:ซ|อ:ร:์|	s|p|r|i|t|z|e:r|
ก:ู|๊:ด|เ:ล:็|ต|	g:o:o|d|l:e|t:t|
อ:ั:ล|ฟ|ั|ล|ฟ|า|	a:l|f|a|l|f|a|
แ:อ|็:ต|ว|ิ|ล:ล:์|	a|t|w|i|l:l|
เ:ว:อ|ร:์:เ|ม|ี:ย|ร:์|	v:e|r|m:e|e|r|
โ:ร:เ|ย|็:ก|	r:o|j:e|k|
เ|บ|น|บ|ร:ู|๊:ก|	b|e|n|b|r:o:o|k|
ส:แ:ต|น|ด:์|	s:t|a:n|d|
อ:ะ|ช|ี|ฟ|เ:ม|น|ต:์|	a|c:h|i:e|v:e|m|e:n|t|
เ:บ|ร|ค|ิ|น|	b|r:e|c:h|i|n|
ไ:ว|ต:์|เ:ซ|ล|	w:h:i|t|e:s:e|l:l|
ฟ|า|ร:์|โ:ล|	f|a|r|l:o:w|
พ:็:อ|ป|	p:o|p|
ค:็:อ|ด|ล:ิ:่|ง|	c:o|d|l:i|n:g|
อ:า|ร:์:เ|ค|เ:ด:ี|ย|	a|r|c:a|d:i|a|
ม|ิ|เ:ช|ล|ี:่|	m|i|c|e:l|i|
โ:ม|ล|า|ส|ส|์|	m|o:l|a|s|s|e|
ล|ู|ท|ี|เ|ซ|ี:ย:ม|	l|u|t|e|t|i|u:m|
ส|ต|ร|ิ:ก|เ:ล:ิ|น|ด:์|	s|t|r|i:c:k|l:a|n|d|
เ:บ:อ|ร:์|ด|ิ:ก|	b:u|r|d|i:c:k|
เ:ว|น|เ:น:อ|ร:์|	w|e:n|n:e|r|
โ:อ|ล|ี|ว|า|เ:ร|ส|	o|l|i|v|a:r|e|z|
เ:ฟ|ร:ี|ย|ส|ั|น|	f|r:i:e|r|s|o|n|
เ:ม|ิ:่:ก|บ:ิ|้:น|	m|c|b:e:a|n|
เ:บ|ี:ย|ด|ส:์|ล|ี:ย:์|	b:e:a|r|d|s|l|e:y|
ช|ั|ป:เ:ป|ิ:ล|ล|์|	c:h|a|p:e|l|l|e|
ร|ู|โ:ซ|,|	r:o|u:s:s|e:a:u|,|
โ|ก|ล|ด:์|ส|	g|o|l|d|s|
แ:อ|ง|โ:ก|ล|	a|n|g|l:o|
ส|ต|ิ|ช|	s|t|i|c:h|
แ:พ|น|เ:ต|ิ:้:น|	p|a:n|t|o:n|
โ:ฟ:เ|ก|อ:เ:ล|อ:ร:์|	f:o|g|l:e|r|
ก|ู:ล|ล:ี|	g|u:l:l|i|
อ:ั|บ|ด|ุ|ล|	a|b|d|u|l|
โ:พ|ล:ิ|ส|	p:o:l|i|s|
แ:บ|เ:ร|า|ล:์|	b:a:r|r|a|u:l:t|
ฟ:อ|ล:์|ก|เ:น:อ|ร:์|	f:a:u|l|k|n:e|r|
ล|ั|ก:ค|ิ:่:ง|	l|u|c:k:i|n:g|
เ:ล|ส|ต:้:า|	l|e:s|t:a|
ร:็:อ|ก:ส:์|บ:ี:้|	r:o|x|b:y|
ว|อ|ร|ิ|ส|	v|o|r|i|s|
ซ|ิ|ง:เ:ก|ล|ต|	s|i|n:g|l:e|t|
โ:ฟ|โ|ต|ไ|ล|ซ|ิ|ส|	p:h:o|t|o|l|y|s|i|s|
โ:น|ซ:ี|ไ:ล|ต|์|	n:o:s|e|l|i:t|e|
แ:ล|ก|เ:ต|ต|	l|a:c|t|a:t:e|
แ:ม|ส:เ:ต|ิ:้:น|	m:a:s|t:o|n|
แ:บ|ล|็|ก:ค|ิ|ส|ต|ั:้:น|	b|l|a|k|i|s|t|o:n|
ค|ิ|น|ช|ิ|ป|	k|i|n|s:h|i|p|
อ:ี|บ:ี|เ:อ:ส|	e|b|s|
เ:ฟ|ย:์|	f|a:y:e|
เ|บ|ด|ด:ี:้|	b|e|d|d:y|
แ:ฮ|ฟ|เ:น|ี|ย|ม|	h|a:f|n|i|u|m|
ส|ต|ร:ู|ป|	s|t|r:o:u|p|
เ:บ|ว|ิ|ส|	b:e:a|v|i|s|
ซ|อ|ย:ล:์|	s|o|i:l|
ส|ว:ี|ต:ต|ี|	s|w:e:e|t|i:e|
ล:ู|ไ:ซ|ต|์|	l:e:u|c|i:t|e|
เ:ด:อ|บ|า|ค:่:า|	d:e|b|a|c:a|
ร|ู|ก|ี|ล|ี:ย:์|	r|u|g|e|l|e:y|
เ|ล|ี:ย:ว|น|า|ร:์|ด|	l|e|o|n|a|r|d|
ล:ี:อ|อ|น|,|	l:e|o|n|,|
ไ:ช|ค|อ|ฟ|ส|ก:ี:้|	c:z:a|j:k|o|w|s|k:i|
ว|ิ|น|ิ:ก|	w|i|n|i:c:k|
ช:ิ|ต|เ:ท:ิ|น|เ:ด:ิ|่:น|	c:h:i|t|t:e|n|d:e|n|
ซ:ี|ต|อ|น|แ:น:ค|ท|ิ|ส|	c:h:i|t|o|n|a:c|t|i|s|
ส|ต|ิ:๊:ด|	s|t:e|e:d|
เ:อ:อ|ค|ร:ี|	a|c|r:e:e|
ล|อ|เ:ร|น|ต:ี:้|	l|o|r|e:n|t:e|
ค|า|ร:์|ส:เ|ว|ล|	c|a|r|s|w:e|l:l|
เ:ด:เ|ล|ี:่:ย|น|	d:e|l:e|o|n|
ด|ิ|ก:ซ:์|	d|i|x|
เ:พ:อ|ร:์|เ:ฮ:ิ|ม|	p:e|r|h:a|m|
ร:อ|ง|	w:r:o|n:g|
ด|ร|ั|ม|	d|r|u|m|
โ:ร:เ|ซ|ิ|น|เ:ม|ิ:่|น|	r:o|s|e|n|m|a|n|
ค|อ|น|	k|o|h:n|
ม:ี:เ|ช|ล|	m:i|c:h:e|l|
แ:ว|ส:เ:ซ|ิ|ล|	v:a:s|s|a|l|
เ:ล:อ|อ|น|ิ|เ:ด:ิ|ส|	l:e|o|n|i|d:a|s|
อ:ะ:เ|ค|เ|ซ:ี:ย|	a|c:a|c|i:a|
เ:ก|ล|น|น:ี:่|ย:์|	g|l:e|n|n|y|
ก:ู|ช|	g:o:o|c:h|
ม|ี|เ:ช|อ:ร:์|	m|i:e:s|c:h:e|r|
ฮ|ั|ล|ส|์|	h|u|l|s|e|
เ:ฟ|า|ล|์:ก|	f|o|u:l|k|
แ:ด:ล|เ|ล|ิ:่:น|	d:a|l|l|o:n|
น|ู:ช|ี:่|	n|u:c:c|i|
เ:ว:อ|ร:์|ต|ู|	v:e|r|t|u|
ไ:ล|ล:่:า|	l:e:i|l:a|
แ:ก|ร|ม|	g:r:a|h:a|m:e|
แ:ค:น|เ|ท|อ:ร:์|เ:บ:อ|ร|ี|	c:a|n|t|e:r|b:u|r|y|
ก|ร|ิ|ต|ส:์|	g|r|i|t|s|
เ:ม|ป|ส:์|	m|a:p:e|s|
เ:ด:อ|ร:์|จ|ิ|น|	d:u|r|g|i|n|
แ:พ|โ|น|ร|า|ม|า|	p|a|n:o|r|a|m|a|
แ:ก|ส:เ:ซ|อ:ร:์|	g:a:s|s:e|r|
แ:ม:็|ป|ป|ิ:้:น|	m:a|p|p|i:n|
ฟ|า|ร:์|ค|า|ฮ|า|ร:์|ส|ั|น|	f|a|r|q|u|h|a|r|s|o|n|
โ:อ|เ:ซ|อ:ร:์|	o|s|e:r|
จ|อ|ย|ซ|์|,|	j|o|y|c|e|,|
ส|ต|า|ร:์|ช|	s|t|a|r|c:h|
โ:ก|ร|ท|	g|r:o|t:h:e|
อ:ี|ล|ี:ย:์|	e|l|e:y|
บ|ิ|ซ|ี|	b|u|s|y|
เ:อ|ล|เ:ว:อ|ี:่|	e|l|v:e|y|
บ|ิ|ล|เ:ล|ส|	b|i|l|l|e:s|
ค|า|ร:์|ม|ี:่|	c|a|r|m|i|
ฮ|า|ร:์|ด|ิ:่:น|	h|a|r|d|i:n|
ค:ว|อ:ร:์|เ:ต:อ|ร:์|	q:u:a|r|t:e|r|
แ:ม|ร|ิ|แ|ล|น|ด:์|	m|a|r|y|l|a:n|d|
ค|า|ร:์|ล|ี|อ:ั:น|	c|a|r|l|y|o:n|
บ|ร|ิ|โ:ต:้|	b|r|i|t:o|
ช|ร:็:อ|ก|	s:c:h|r:o|c:k|
ฟ:ิ|ล|บ|ร:ู|ก|	p:h:i|l|b|r:o:o|k|
ค|า:ร:์|โ|ท|แ|ก|ร|ม|	c|a|r|t|o|g|r:a|m|
บ|ั|ล|โ:บ:เ|อ:อ|	b|a|l|b:o|a|
โ:ด|ป|ป|์:เ:ล|อ:ร:์|,|	d|o:p|p|l:e|r|,|
ร|ิ|เ:ว:อ|ร:์|	r|i|v:e|r|
แ:ฮ|น:น|า:ห:์|	h:a:n|n|a:h|
เ:พ|ร|น|ท|ิ|ส|	p|r|e:n|t|i|s|
ช:ู|เ:ต:อ|ร:์|	c:h:u|t:e|r|
เ:พ|ร:ิ|น|	p|e:r:e|n|
แ:ม:จ|ิ|น|น:์|	m:a|g|i:n|n|
ช|า|ล|ี|	c:h|a:r|l|i:e|
ล|อ|น|ด|อ|น|,|	l|o|n|d|o|n|,|
ค|ิ|ป|ล|ิ:ง|,|	k|i|p|l|i:n:g|,|
บ|า|ร:์|เ:ร|ด:้:า|	b|a:r|r|e|d:a|
เ:ฟ|ซ|โ|บ|ว:์|	f|a:c:e|-|b:o|w|
บ|ร|ึ:ก|เ:น:อ|ร:์|	b|r|u:c:k|n:e|r|
ค|า|ล:โ|ค|ไ:พ|ไ|ร|ต|์|	c|a|l|c:o|p|y|r|i:t|e|
น|อ|เ:ว:ิ|ก|	n|o|v:a|c:k|
เ:ช|ล|เ:ต|ิ:้:น|	s:h:e|l|t|o:n|
ม|า|เ:ร|ี:ย|น|	m|a|r|i|a:n|
เ:ก:อ|ร:์|ส|ไ:ต|น:์|	g:e|r|s|t:e:i|n|
แ:อ|ล|ฟ:อ|น|ส|์|	a|l|p:h:o|n|s|e|
แ|ล|บ|ร|า|โ|ด|ไ:ร|ต|์|	l|a|b|r|a|d:o|r|i|t|e|
ซ|ิ|น|น|ิ:ต|	s|i|n|n|e:t:t|
ว|ั|น|เ:ด:อ|ร:์|,|	w|o|n|d:e|r|,|
เ:ร|น|ี:ย:์|	r|a:n|e:y|
ส|ว:ี|น|ี:ย:์|	s|w:e:e|n|e:y|
ด:ี:เ|ป|ร|ส|ช:ั|น|	d:e|p|r|e:s|s:i:o|n|
โ:พ|ล|ี|ค|า|ร:์|บ|อ|เ:น|ต|	p|o:l|y|c|a|r|b|o|n|a:t:e|
ช|ู|ล|ต:์:ส|	s:c:h|u|l|z:e|
เ:ก|ร|ี:ย|ล|ี:ย:์|	g|r:e|a|l|e:y|
ด|ู|ม:า|,|	d|u|m:a:s|,|
อ:ี|ซ|า|ด|อ|ร:่:า|	i|s|a|d|o|r:a|
พ|ุ:ช|	p|u:s:h|
ม|า|ร:์|เ:ค:ิ|ล|	m|a|r|k:e|l:l|
แ:อ|ส|เ:ต:อ|ร:์|	a|s|t:e|r|
อ|ล|อ|ย:ส:์|	a|l|o|i:s|
เ:บ:อ|ร:์:เ|ค|า|	b:e|r|k:o|w|
น:็:อ|ต|	n:o|t:t|
ม|อ|ร:์|เ:ร:อ|ร:์|	m|o|r|r:e|r|
ส|โ:ล:เ|ป|อ:ร:์|	s|l:o|p:e|r|
ค|อ|น|เ:น|ล|ล:่:า|	c|a|n|n|e:l|l:a|
พ|ล:า:ย|ว:ู|ด|	p|l:y|w:o:o|d|
เ:ซ:็|น|	s:e|n|
เ:ด|ค|า|ก|ร:ั|ม|	d|e:c|a|g|r|a:m|
แ:ค|น|บ:ี:้|	c|a:n|b:y|
ค|า|ซ:ี:เ|ม|ี:ย|ร:์|	k|a|s:i|m|i|r|
เ:อ|ล|ิ|น|ว:ู|๊:ด|	e|l:l|i|n|w:o:o|d|
เ:ด|น|เ:ซ|ิ|ล|	d|e:n|z|i|l|
แ:บ|ส|เ:ซ:ิ|ล|	b|a:s|s:e|l|
โ:ม|น|ค|ู|ร:ี:่|	m|o:n|c|u|r:e|
ส|ต|๊|อ|บ|	s|t|a|u|b|
โ:ฮ|ล|เ:ด:ิ|่:น|	h|o:l|d:e|n|
ฮ|อ|ร:์|ต|ั|น|	h|o|r|t|o|n|
แ:อ|น|โ:ท|น|ี|	a|n|t:h:o|n|y|
แ:ค|ล:เ:ล|ิ:น|เ:ด:อ|ร:์|	c:a:l|l:a|n|d:e|r|
เ:ซ:็|น|ต|ิ|	s:e|n|t|i|
เ:ร|ด|ฟ|ิ|ล|ด:์|	r|e:d|f|i:e|l|d|
เ:ค|น|เ:น|ิ:ต|	k|e:n|n|e:t:t|
โ:ล|โ:ก|	l|o:g:o|
พ|ิ|น|ด|ิ:ก|	p|i|n|d|y:c:k|
ก|ิ:ล|โ|ซ|ไ:น|ต|์|	g|i|l|s:o|n|i:t|e|
จ|ิ|ส|ต:์|	g|i|s|t|
แ|ว|ง|เ:ค:ิ|ร:์|ก|	v|a|n|k:i|r|k|
แ|ซ|ค|ร:า:เ|ม|น|โ:ต|	s|a|c|r:a|m:e|n:t|o|
เ:ด:อ|ด|อ|ก|	d:u|d|o|k|
ร|อ|เ:จ:อ|ร:์|	r|o|g:e|r|
ว|อ|เ:ต:อ|ร:์|ฟ|ิ|ล|ด:์|	w|a|t:e|r|f|i:e|l|d|
ล|ี|เ:ป:อ|ร:์|	l|e:e|p:e|r|
ล|อ|น|ด:า:เ|อ:ิ:ต|	l|a|n|d:u|y:t|
ส|ต|ั|ฟ|เ:ฟ|ล|บ:ี|ม|	s|t|u|f|f|l:e|b:e:a|m|
ล|ิ|ก|เ:ท:ิ|น|เ|บ|อ:ร:์|เ:ก:อ|ร:์|	l|i|c:h|t:e|n|b|e|r|g:e|r|
เ:ค|พ:ี|่:ย:์|	c|a:p:e|y|
จ|ิ:น:เ|ซ|ง|	g|i:n|s:e|n:g|
ไ:ก|ส|์|	g:u:i|s|e|
แ:ล|ม|บ:์|	l|a:m|b|
โ:พ:เ|ด|ส|ต:้:า|	p:o|d:e|s|t:a|
ก|ิ|ล|ล|ิ|ง|แ|ฮ|ม|	g|i|l|l|i|n|g|h|a:m|
เ|บ|อ:ร:์|ม|ู|ด|า|ส:์|	b|e|r|m|u|d|a|s|
เ:ว:ิ|ร:์|น|	w:e|r|n|
เ:อ:็|ด|เ:ม:ิ|่:น|ด:์|ส|ั|น|	e|d|m:u|n|d|s|o|n|
เ:อ:อ|เ:ล|ิ:น|ส|ั|น|	a|l:l:a|n|s|o|n|
แ:ล|น|ด|ร|ิ|ว|	l|a:n|d|r|i|e:u|
ม|า|ร:์|ค|,|	m|a|r|c|,|
แ:อ|็:ต|ล|ี|	a|t|l|e:e|
อ:ะ|ล|อ|ร:์|	a|l|o|r|
เ:อ|ล|ว:่:า|	e|l|v:a|
แ:พ|ล|ส|	p|l|a:s:s|
จ|ั|ส|ต:์|	j|u|s|t|
ส:เ:ต|ร:า|ส|์|	s:t|r:o:u|s|e|
เ|ท|ม|ิ|น|	t|e|m|i|n|
แ:ค|ล:ว|า|ร|ี|	c:a:l|v|a|r|y|
ล:ั:ส|ซ|า|ล|า|	l:a|s|a|l|a|
ค|อ|ร:์|น|ิ|ซ|	c|o|r|n|i|c:e|
โ:อ|ม|อ|ร:์|	o|m|o|o:r:e|
เ:ว|เ:ท|อ:ร:์|ส|ป|ู:น|	w:e:a|t:h:e|r|s|p|o:o:n|
โ:ค|แ|ท|น|เ:จ|น|ต:์|	c|o|t|a:n|g|e:n|t|
ล|า|ว|เ:ต:ิ|น|	l|o|u:g:h|t|o:n|
ซ|อ|ว|ิ|ก|ก:ี:้|	s|a|w|i|c|k:i|
ท:ั:ก|เ:ก|ล|ี:ย|บ|ู|เ:อ:้|	t:a|g|l:i|a|b|u|e|
อ:ิ|ส|ต:์|เ:ม:ิ|น|	e|a:s|t|m:a|n|
ท|อ|ย|เ:ฟ:ิ|ล|	t|e|u|f:e|l|
เ:ซ|ล|ส:์|เ:ด|ิ:้:น|	s|e:l|s|d|o:n|
ไ:บ|โ|อ|ร:ิ|ท|ึ:ม|	b|i|o|r:h:y|t:h|m|
จ|า|โ|ก|โ:ม|	g|i|a|c|o:m:o|
ไ:ค|	k:a:i|
บ:ิ:ว|ส|์|	b:u|s|e|
ว|ั|ต|ต:์|ม:ิ:เ|ต|อ:ร:์|	w|a|t|t|m:e|t:e|r|
แ:ค|ซ|ี:ย:์|	k|a:s|e:y|
ด|ิ|อ:อ|น|น|์|	d|i|o|n|n|e|
อ:อ|ร|ิ|น|	o|r|i|n|
แ:บ|ร|์|เ:ร|อ|เ:ค|ล|า|	b|a|r|r|a|c|l:o|u:g:h|
โ:ม|เ:ซ:ิ|ป|	m:o:s|s:o|p|
พ|า|ร:์:เ|ม|ิ:่:น|เ:ต:อ|ร:์|	p|a|r|m:e|n|t:e|r|
แ:อ|ว|า|ล|อ|น|,|	a|v|a|l|o|n|,|
ฮ:ี|ร|ิ|น|	h:e:a|r|i|n|
ฮ:ิ:ว|เ:ล|็:ต|ต:์|	h:e|w:l:e|t|t|
ฮ|ิ|ส|ซ|อ|ป|	h|y|s|s|o|p|
เ:ล|ไ:ท|ต|์|	l:a:t|i|t|e|
เ:ก:อ|ร:์|เ:ล:ิ|ก|	g:e|r|l:a|c:h|
ซ:ิ:น|โ|ค|ร|ต|ร|อ|น|	s:y|n|c:h|r:o|t|r|o|n|
เ:อ:ิ|ง|ค|ี|น:ี:่|	a|n|k|e|n:y|
อ:อ|ส|ต|ร|า|ว|า|	o|s|t|r|a|v|a|
บ|อ|เ:ฮ|น|อ|น|	b|o|h:a:n|n|o|n|
ส|ต|ร|ู|๊|บ|	s|t|r|u|b|e|
ซ|ี|ม|อ|น|	s|i|m|o|n:e|
ร|ิ|เ:ว:ี|ย:ร:์|	r|e|v:e|r:e|
ล:ู|ส|ล|ี:่|	l:o:o|s|l|i|
ไ:ช|น:์|เ:ม|ิ:่|น|	s:c:h|e:i:n|m|a|n|
ว|า|ด|ุ|ซ|	v|a|d|u|z|
ด|ิ|ส|เ:ร|ล|ี|,|	d|i|s|r:a:e|l|i|,|
ค|า|น|า|ต|	q|a|n|a|t|
ว:ิ|ก|ส:์|	w:e:e|k:e|s|
ล|ิ|ด:เ:ด|อ:ร:์|	l|i:e|d:e|r|
แ:ม|ร:์|ร:ี|เ:น:อ|ร:์|	m:a:r|r|i|n:e|r|
ส|ว|ี|เ:ด:อ|ร:์|ส|ก:ี:้|	s|w|i|d:e|r|s|k:i|
ไ:ฮ|เ:ท|ค|	h:i:-|t|e:c:h|
เ:พ|ิ|ร:์|ซ|	p|e:i|r|c:e|
เ:พ:อ|ร:์|ร:ี:่|เ:ม:ิ|น|	p:e|r|r:y|m:a|n|
ว|ิ|เ:ม:ิ|ร:์|ส|ล|ี:่|	w|o|m:e|r|s|l:e|y|
อ:า|ร|ู|	a|r|o:e|
แ:ซ|ม|	s|a:m|
ส|ก|อ|ล|ล|อ|ป|	s|c|o|l|l|o|p|
เ:ซ|ล|ล|ี|	s|e:l|l|y|
เ:อ:อ|บ:ิ|ก|	a|b|e:g:g|
ร|ิ|ช:ช|ี:ย:์|	r|i|t:c:h|e:y|
แ|ท|ร|ช|	t|h|r:a|s:h|
ช|ล|อ|ส|ส:์|เ:บ:ิ|ร:์|ก|,|	s:c:h|l|o|s|s|b:e|r|g|,|
เ:ป|อ:ี|	p|a:y:s|
แ:บ|ร|น|โ:ด:้|	b|r:a|n|d:o|
แ:อ|ส|เ:ซ|ต|	a|s|s|e:t|
เ:ม:ิ|ต|ท|ู:น|	m:a|t|t|o:o:n|
แ:พ|ล|ไ:ม|ร|า|	p|a:l|m|y:r|a|
โ:ร:เ|ว|ต|ต:้:า|	r:o|v:e|t|t:a|
ด|อ|เ:ล:ิ|ส|	d|a|l:a|s|
พ|า|เ:พ|อ|ิ|น|	p|a|p|a|i|n|
เ:ว|ิ:ด|ส:์|เ:ว:ิ|ร:์|ท|	w:o:r|d|s|w:o|r|t:h|
แ:ม:็|ด:เ:ด|ิ:ล:ล|ิ|น|	m:a|d:e|l|i|n:e|
ม|ั|ส|ก|ี|้|	m|u|s|k|i|e|
ร|ี|เ:ว:อ|ร|ี|น:่:า|	r|i|v:e|r|i|n:a|
ซ|ิ|บ|ิ|ล|	s|y|b|i|l|
เ:ก|ล|น|น|ี|่|	g|l:e|n|n|i|e|
แ:ค|ช|เ:ม|ิ:่|น|	c:a:s|h|m|a|n|
ล|ิ|ง|ก|ว|ี|น|ี|	l|i|n|g|u|i|n|i|
เ:ม|ิ:่:ก|พ|า|ร:์|เ:ล:ิ|่:น|ด:์|	m|c|p|a|r|l:a|n|d|
ล|า|ม|า|	l:l|a|m|a|
ด|า|ย|	d|i|e|
บ|า|ร:์|ล:ิ:่|ง|	b|a|r|l:i|n:g|
ด|อ|น|ล|ี:ย:์|	d|o|n|l|e:y|
ล|ุ|ย|จ|ี|	l|u|i|g|i|
ช:ิ|ต|ต:ี:้|	c:h:i|t|t:y|
บ|ิ|ล|เ:ล:ิ|ป|ส:์|	b|i|l|l:u|p|s|
ก:ู|ล|์:เ:ด|ิ:้:น|	g:o:u|l|d:e|n|
เ:อ:ิ|ด|ด:ี:เ|ต|ิ:้:น|	a|d|d|i:t|o:n|
ส|ต|ี|เ:ฟ|ิ:น|เ:ซ:ิ|น|	s|t|e|p:h:e|n|s:o|n|
พ:ี|ซ:ี|	p|c|
เ:บ:ิ|ร:์|ก|	b:e|r|k:e|
โ:อ|เ:ว:อ|ร:์|ส|ต|ร:ี|ต|	o|v:e|r|s|t|r:e:e|t|
ม|า|น|ิ|โ|ต|บ|า|	m|a|n|i|t|o|b|a|
ว:ี|ท:ี:อ|า:ร:์|	v|t|r|
ม|ิ|ป|ส:์|	m|i|p|s|
เ:ค:ิ|ร:์|ก|	k:i|r|k|
เ:อ|บ|ิ|น:ี:เ|ซ|อ:ร:์|	e|b|e|n:e|z:e|r|
ล:ี|ก|ี:ย:์|	l:e:a|k|e:y|
เ:ก|ร|ิ:ด|ค|ี:่|	g|r:o|d|z:k|i|
เ:บ|ร|ิ:น|ว|ิ|น|	b|r:o|n|w|y|n|
ส:ก|ี:้:บ|เ:น:อ|ร:์|	s:c:r|i:b|n:e|r|
เ:พ:อ|น|ี|น:่:า|	p:e|n|i|n:a|
อ:ั|ส|เ:ซ|น|ช:ั|น|	a|s|c|e:n|s:i:o|n|
พ:ี|ต|เ:ซ|อ:ร:์|	p|i:t|z|e:r|
ฮ|ั:ม:เ|บ|ิ:้:ล|	h|u:m|b|l:e|
แ:ก:เ|ร|ิ:่:น|	g:a|r:e|n|
ฮ|า|โ|ล|เ:ธ|น|	h|a|l|o|t:h:a|n:e|
ย|ู|เ:อ|อ:ร:์|	e|w|e|r|
ส:เ|ว|ต|	s|w:e|t:t|
เ:จ|ป|พ:ี|เ:ซ|ิ:่:น|	j|e:p|p|e:s:e|n|
แ:ม|ร:์|เ:ร|ี:ย|ม|	m|e|r:r:i|a|m|
บ|ั|ล|แ:ก:เ|ร|ี:ย|	b|u|l|g:a|r:i|a|
แ:อ|น:น:ิ|ล|	a|n:i|l|
ซ|า|ล|ี|โ:ด:้|	s|a|l|i|d:o|
ฮ|ิ|ม|บ|ร:ี|	h|e|m|b|r:e:e|
เ|บ|ง|เ:ค:ิ|ร:์|ต|	b|e|n|k:e|r|t|
เ:บ:ิ|ร:์|ก|	b:e|r|g:h|
ส|โ:ต:เ|ว|อ:ร:์|	s|t:o|v|e:r|
เ:ล:็|ต|ต|ิ:ส|	l:e|t|t|i:c:e|
เ:ด|ล|์:ฟ|ส|	d|e:l|f|s|
เ:ค:อ|บ|ั:ต:ส|ก:ี:้|	k:u|b|a:c|k:i|
ด|ิ|ว|เ:ท|อ:เ|ร|ี:ย:ม|	d|e|u|t|e|r:i|u:m|
ด|อ:ว:์|	d|a:w|
ม|ั|ฟ|เ:ฟ|ิ|ต|	m|o|f|f|a|t:t|
ส:ต|ั:๊:ต|ส:์|	s:t:r|u:t|z|
ไ|ว|แ:อ|็:ต|	v|i|a|t|
ซ:ู|ท|า|ร:์|	s:o:u|t|a|r|
ซ:ี:เ|ท|น|	c:e|t|a:n:e|
เ:ว|เ:ด|ิ:้:น|	w:h:e|d|o:n|
แ:อ|ม|ส|เ:ต:อ|ร:์|	a|m|s|t:e|r|
อ:ะ|เ:ก|ต|	a|g|a:t:e|
เ:ฮ|ส|เ:ซ:ิ|ล|ส:์|	h|e:s|s:e|l|s|
เ:ด|ร|ย:์|ต|ั|น|	d|r:a|y|t|o|n|
อ:อ|โ:ร|ร|า|	a|u:r:o|r|a|
อ|อ:ร:์|เ:ค:ิ|ต|	o|r|c:u|t:t|
โ:ค|ไ:ฟ|ร:์|	c:o:-|f|i:r:e|
โ:บ|ต|ต:์|เ:ช|อ:ร:์|	b:o:e|t|t|c:h:e|r|
ซ|ั:ล|โ|ว|	s|a|l|v:o|
ท|ิ|ม|พ:ู|	t:h|i|m|p:h:u|
ส|เ:ป|ด|	s|p|a:d:e|
โ|ว|ส|ก:ู|ล|	v|o|s|k:u:i|l|
ค|ิ|ส|ส:์|	k|i|s|s|
แ:ซ|ก|ว|ิ:ล|ล:์|	s:a:c|k|v|i|l:l:e|
เ:อ:อ|ร:์:ไ|ว|น|์|	i|r|v|i:n|e|
ไ:ว|ล|ี:ย:์|	w:h:a|l|e:y|
แ|ซ|ง|ส|เ:ต:อ|ร:์|	s|a|n:g|s|t:e|r|
ร:ี:เ|จ|ี:ย|	r:e|g:i|a|
อ:ี|ส|โ:ท:ร|เ:จ|น|	e|s:t|r:o|g|e:n|
เ:ว|เ:ก|ิ:่|น|ต:์|	w:e:y|g|a|n:d|t|
แ:ฟ:เ|ร|ิ|ก|เ:ฮ|อ:ร:์|	f:a|r|a|g|h|e:r|
ม|ู:อ:ิ|ส|	m|u:i|s|
ช|ี:ม:เ|ม|ิ:ล|	s:c:h|i:m|m:e|l|
จ|อ|ย|เ:น:อ|ร:์|,|	j|o|y|n:e|r|,|
ฟ|ล|า|ร:์|	f|l:o|h|r|
อ:อ|เ:ร|ิ:่|ม|	o|r|a|m|
ย|ู|อ:ั|น|	e|u|a|n|
แ:อ|ซ|ิ|ด|	a|c|i|d|
