ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ק|ו|ש|נ|ר|	k|o:u|c:h|n|e:r|
ל|א|מ|א|ר|י|	l|a|m|a|r|i|
ק|ו|י|ו|מ:ג|י|א|ן|	k|o:u|y|o:u|m:d:j|i|a|n|
ו:ו|ד|ל|י|	w:o:o|d|l:e|y|
מ|י|ג|ר|ו|ן|	m|i|g|r|o|n|
ס|י|ר|י|ל|י|ק|	c|y|r|i|l:l|i|c|
ס|ד|ר|א|	s:a|d|r|a|
ס|א|ל|ב|א|ד|ו|ר|	s|a|l|v|a|d|o|r:e|
ס|ל|א|ב|ק|ו|	s|l|a|v|k|o|
מ|י|ס|ק|י|נ|א|	m|y|s|k|i|n|a|
ג|ר|י|ג|ו|י|ר|	g|r|e|g|o|i|r:e|
א|מ|י|ו|ן|	a|m|i|o:u|n|
ס|י|ט|ס|ו|ב|ו|ן|	s|e|t|s|u|b|u|n|
מ|ו|ז|א|מ|ב|י|ק|	m|o|z|a|m|b|i|q:u:e|
מ|נ|ס|ו|ר|	m:a|n|s|o:u|r|
ר:א|ס|ל|	r:u:s|s:e|l:l|
מ|ל|מ|ד|	m:e|l|a:m:e|d|
ה|א|י|ר|ד|א|ל|	h|e|y|e:r|d|a|h:l|
ג|ר|א|ס|י|	g|r|a|s:s|i|
ס|ט|א:ב:א|נ|ג:'|ר|	s|t:a|v:a|n|g|e:r|
ס|א|ק|ס|א|ן|	s|e|k|s|a|n|
ק|ו|ר|י|	c|o|r|i|
ס|ו|י|י|ז|י|	s|w|a|y|z|e|
ד|ר|י|ס|א|	d|r|i|s:s|a|
פ|ו|ק|ו|נ|י|ש:י|	f|u|k|u|n|i|s:h:i|
מ:י:י|ג:ו:'|ר|	m:a|j:o|r|
א:ו|ט|א|ד|א|	u|t|a|d|a|
ש|א|מ|י|	s:c:h|a|m|i|
ז|ל|ר|	z:e|l:l|e:r|
ג|ר|י|ג|י|ר|א|	g|r|y|g|e|r|a|
ב|א|ל|ו|ט|א|	b|a|l:l|o|t:t|a|
ב|ס|ט|	b:e|s|t|
ע:א|ד|	a|d:e|
ר|ו|ט|	r|o|t:t|
מ|א|ג|נ|י|ן|	m|a|g|n|i|n|
ט|ו|ט|ו|ר|ו|	t|o|t|o|r|o|
ד|ו|ד|א|מ|י|ל|	d|u|d|a|m|e|l|
מ|נ|ג|ל|ה|	m:e|n|g|e:l|e|
נ:ח|ו|ם|	n:a:h|u|m|
ד|י|ו|מ|א|נ|ס|י|	d|i|o|m|a|n|s|y|
ג:':ו|ן|	j:o|n|
ב|ר|ל|י|ן|	b|e:r|l|i|n|
ר|א|ו|י|י|ר|	r|a|v|i|e|r|
מ|א|ק|ד|א:ו|ל|	m|a|c|d|o:w:e|l:l|
מ|א|ו|ס|	m|a|u|s:s|
ס|ט|ר|א|ט|פ|ו|ר|ד|	s|t|r|a|t|f|o|r|d|
מ|א|ק|י|	m|a|k|i|
ד|י|ס|ק|י|ן|	d|i|s|k|i|n|
ה|א|ר|א|ד|א|	h|a|r|a|d|a|
ק|א|ר|ד:ו|צ:':י|	c|a|r|d:u:c|c:i|
ו:ר|מ|ו|נ|ט|	v:e:r|m|o|n|t|
ג|י|ק|א|ס|	g|e|k|a|s|
ג|ר|ד|	g|e:r|d|
נ|פ|ר|ט|י|ט|י|	n:e|f:e|r|t|i|t|i|
פ|ו|ר|ט|ש:ן|	f|o|r|t|u:n:e|
ל|א|נ|ד|ר|י|	l|a|n|d|r|y|
א:י|ז|ה|א|ר|	i|z|h|a|r|
א|ל|ס|ט|	e|l|s|t|
ש|ו|ן|	s:h|a:u|n|
ס|ל|א|ב|י|ן|	s|l|a|v|e|n|
צ:':י|פ|ו|ל|א|	c:i|p|o|l:l|a|
ר|ו|מ|א|ר|י|ן|	r|o|m|a|r|i|n|
ה|י|ד|י|נ|ק|	h|i|d:d|i|n|k|
ה|י|ל|ט|	h|e|l|t|
ר|י|צ:'|ר|ט|	r|i|c:h:e|r|t|
ע:א|י|ל|	a|y|i:l|
ס|ו|ר|ט|י|ס|	s|u|r|t:e|e|s|
מ|י|מ:ו|נ|ה|	m|i|m:o:u|n|a|
מ|י|ל|א|ד|	m|i|l|a|d|
ס|א|נ|ט|א|נ|ג|'|ל|ו|	s|a|n|t|a|n|g|e|l|o|
פ|א|נ|י:ו|ל|	p|a|g:n|o|l|
ק|א|ב|ו|נ|ג|ו|	k|a|b|o|n|g|o|
ב|א|ק|א|ו|	b|a|c|a|u|
ק|י|י|ן|	c|a|i|n:e|
ה|ו|א|ר|ד|	h|u|a|r|d|
ל|י|ו|פ|א|ר|ד|י|	l|e|o|p|a|r|d|i|
ק|א|ר|נ|י|ג|ל|י|א|	c|a|r|n|i|g|l|i|a|
ב|ס|ל|א|ן|	b:e|s|l|a|n|
מ|א|ר|ס|י|ל|	m|a|r|c|e|l:l|
נ|י|ל|ט|ו|ן|	n|i|l|t|o|n|
ה|ו|ד|ל|	h|o|d:d|l:e|
ק|א|ר|י|	c|a|r:r:e|y|
ז|א|ב|י|ן|	z|a|v|e|n|
ב|י|נ|י|ד|ט|ו|	b|e|n|e|d:e|t:t|o|
ק|א|ד|ר|	k|a|d|e:r|
ל|א|ז|א|ר|ו|ס|	l|a|z|a|r|u|s|
ק|ו|נ|י|ש:י|	k|o|n|i|s:h:i|
ו|י|ו|	v|i:e|w|
י|ק|ס|י|ל|	y|k|s|e|l|
י|א|ו|	y|a|o|
ק|ו|ר|נ|י|ל|	c|o|r|n|e|l:l|
מ|א|י|ר|	m|e|i|r|
ס|י|ל|ב|י|נ|י|ו|	s|y|l|v|i|n|h|o|
י|ר|ו|ש|ל|מ|י|	y|e:r|u|s:h:a|l|m|i|
ג|א|י|ט|א|ן|	g|a|e|t|a|n|
ש|י|נ|ג|י|ל|י|א|	s:h|e|n|g|e|l|i|a|
ס|ו|	s|o:w:e|
ט|ו|י|ו|ט|ו|מ|י|	t|o|y|o|t|o|m|i|
ל|י|מ|ו|ר|	l|i|m|o|r|
ר|ו|ק:ו|	r|o|c:c:o|
ח|ל|ו|ץ|	h:a|l|u|t:z|
ק|ו|ס|ג|ר|ו|ב|	c|o|s|g|r|o|v:e|
ס|ו|ג|י|ה|א|ר|א|	s|u|g|i|h|a|r|a|
ר|ו|ל|ף|	r|o|l|f:f|
א|נ|י|ל|ק|א|	a|n|e|l|k|a|
ק|א|ר|ו|	c|a|r|o|
ה|ו|ט|ו|ן|	h|o:u|g:h:t|o|n|
פ|א|ט|ר|י|ס|	p|a|t|r|i|c:e|
ר|ו|ז:א|נ|א|	r|o|s:s:a|n|a|
ה|י|י|ס|	h|e|y|s:e|
ח|י|מ|נ|ז|	j|i|m:e|n:e|z|
י|מ|י|ן|	y:a|m|i|n|
פ|א|ר|ק|ו|ר|	p|a|r|k|o:u|r|
ק|נ|ד|ו|	k:e|n|d|o|
י|א|ה|י|ל|	y|a|h|e|l|
ש|י|פ|ר|	s:c:h|i|f:f|e:r|
ר|א|ד:י|	r|a|d:h:i|
נ|א|ט|ס|ו|מ|ה|	n|a|t|s|u|m|e|
ס|ו|ק|ר|	s|u|k|e:r|
ט|א|ו|ב|	t|a|u|b:e|
ט|א|ק|א|י|ו|ק|י|	t|a|k|a|y|u|k|i|
ק|ו|ט|א|ר|ו|	k|o|t|a|r|o|
ר|ו|מ:י:י|ן|	r|o|m:a|i:n|
ק|ר|ב|י|נ|ק|ו|ב|ס|ק|י|	c|r|v|e|n|k|o|v|s|k|i|
ר|ו|ס|ו|ד|א|ן|	r|u|s|u|d|a|n|
ס|מ|ו|ל|א|ר|י|ק|	s|m|o|l|a|r|e|k|
ד|נ|ב|ר|	d:e|n|v:e|r|
ל|י|פ|י|	l|i|p:p|i|
ר|א|ב|ש|א|ן|	r|a|v|s:h|a|n|
ק|א|פ|א|ר|ו|נ|י|	c|a|p:p|a|r|o|n|i|
מ|י|ל|ט|ו|ן|	m|i|l|t|o|n|
נ|ו|ב|ו|י|ו|ק|י|	n|o|b|u|y|u|k|i|
ב|ר|ג|ר|י|ן|	b|e:r|g:g|r:e|e|n|
פ|א|ל|ק|א|ו|	f|a|l|c|a|o|
ב|ו|ר|ק|י|נ|א|	b|u|r|k|i|n|a|
ג|ו|ל|	g|o|l:l|
ב|ש|י|ר|	b:e|s:h|e|e:r|
ט|ו|ס|ק|א|נ|י|	t|u|s|c|a|n|y|
א|ל|א|נ|ד|	a|l|a|n|d|
ס|י|ר|ו|ט|ו|נ|י|ן|	s|e|r|o|t|o|n|i|n|
ד|א|נ:א|	d|a|n:n:a|
ק|ו|ס|ר|י|	c|o|s:s|e:r|y|
ט|ו|ד|נ|ה|ו|פ|ר|	t|o|d:e|n|h|o|f:e|r|
ג|ל|ו|ב|ר|	g|l|o|v:e|r|
ד|י|ל|י|	d|e|l|e|
מ:א:ק|י|נ|ד:ו|	m:c|i|n|d:o:e|
ר|ש:י|ד|	r:a|s:h:i|d|
ג|w:א|נ|י|	g|i:a:n|n|i|
ג:':ו|	j:o|
ס|ו|נ|ד|ר|ג|א|ר|ד|	s|o|n|d|e:r|g|a|a:r|d|
ר|א|י|ק:ו|נ|ן|	r|a|i|k:k:o|n:e|n|
מ|ו|ב|י|	m|o|b|y|
ה|ו|ן|	h|o|n|
ב|ו|ר|ט|	b|u|r|t|
ק|א|ט|א|ל|י|נ|א|	c|a|t|a|l|i|n|a|
ב|ל:י:י|ר|	b|l:a|i:r|
ג|א|ב|י|	g|a|b|y|
ו|ל|א|ד|י|מ|י|ר|	v|l|a|d|i|m|i|r|
ט:ז|נ|י|ט|	t:i:z|n|i|t|
ט|י|מ|ל|י|ן|	t|i|m|l|i|n|
ס|פ|א|נ|י|ש|	s|p|a|n|i|s:h|
ק|ו|ש:י|	k|o|s:h:i|
ט|א|ר|א|נ|ט|י|נ|ו|	t|a|r|a|n|t|i|n|o|
ג|א|ל|ב|י|ן|	g|a|l|v|i|n|
פ|ו|ג|	f|o|g:h|
מ|י|נ|א|	m|i|n|a|
ה|א|ר|ב|י|	h|a|r|v:e|y|
נ|ה:א|ל|פ|ו|	n|h|l|a:p|o|
ז|ה|ב|י|	z|a:h|a:v|i|
ד|ו|ד|י|	d|o|d|i|
ק|א|ה|א|נ|א|	k|a|h|a|n|e|
ח:ו|ס|י|י|נ|י|	h:u:s|s|e|i|n|i|
ט|י|ר|ס|ן|	t|i|e:r|s|e:n|
א|ל|א:י|ס|פ|ה|א|נ|י|	a|l|i|s|f:a|h|a|n|i|
ו|א|ל|י|ט|א|	v|a|l:l|e|t:t|a|
ס|ר|ט|א|ו:ו:י|	s|a:r|t|a|w:i|
א:ו|ק|י|ל|ו|	o|k|e|l:l|o|
מ|ל|ח|ם|	m:e|l|h:e|m|
ל|ו|ק|ו|	l|o|k|o|
מ|ס|ט|י|ס|ל|א|ב|	m|s|t|i|s|l|a|v|
י|ו|נ:א|ן|	y|u|n:n:a|n|
ר|ו|ש|	r|o|s:h|
ג:'|ר|מ:י:י|ן|	j|e:r|m:a|i:n|
ו|י|א|צ:'|י|ס|ל|א|ב|	v|y|a|c|h:e|s|l|a|v|
ס|י|ז|י|פ|ו|ס|	s|i|s|y|p:h|u|s|
פ|א|ל|א|ו|	p|a|l|a|u|
ע|ל|ו|נ|י|	a|l:l|o:u|n|i|
ד:י:י|ו|י|ס|	d:a|v|i|s|
פ|ו|ט|י|ט|ו|	p|o|t|i|t|o|
נ|א|י|ף|	n|a|y:e|f|
ב|ר|צ:'|ל|י|נ|ו|	b|e:r|c:e:l|l|i|n|o|
א|ל|י|ס|י|א|	a|l|i|c|i|a|
ו|י|נ|ס|י|נ|ט|	v|i|n|c|e|n|t:e|
ב|י|ס|מ|י|ל|ה|	b|i|s|m|i|l:l|a:h|
מ|א|ר|ו:א|	m|a|r|o:i:s|
א|ס|מ|א|ע:י|ל|	i|s|m|a|i|l|
ב|ר|א|מ|א|נ|ט|י|	b|r|a|m|a|n|t|e|
ק|ו|ב|נ|ט|ר|י|	c|o|v:e|n|t|r|y|
ק|א|נ|ו|	k|a|n|u|
ז|י|ו|	z|i|v|
ה|נ|ד|ל|	h:e|n|d:e|l|
ח|ר|ק|ת|	h:a|r:a|k|a:t|
פ|כ|נ|ר|	f:e|c:h|n|e:r|
ק|א|ז|א|ן|	k|a|z|a|n|
ט|ר|נ|ו|פ|י|ל|	t|e:r|n|o|p|i|l|
ס|א|נ|ד|י|	s|a|n|d|y|
ב|ר|ו|נ|ס|ט|י|ן|	b|r|o|n|s|t:e|i|n|
ט|י|נ|ג:':י|	t|e|n|j:i|
ק|א|י|ר|ו|	c|a|i|r|o|
ב|ו|ר:י|ל|	b|u|r:r:e|l:l|
ב|ר|ז|י:ט:ש|	b|r|z|i:c|
ב|א|מ|ב|א|נ|ג|	b|a|m|b|a|n|g|
ט|א|ה|י|ט|י|	t|a|h|i|t|i|
א:ו|ר|נ|י|ם|	o|r:a|n|i|m|
פ|ל|ו|ר|י|א|נ|ו|	f|l|o|r|i|a|n|o|
א:י|ס|ק|ר|א|	i|s|k|r|a|
ק|ל|י|נ|ת|	c|l|e|a:n|t:h|
ו|י|י|	v:e|i|i|
ג:'|מ|י|ס|ו|ן|	j|a:m|i:e|s|o|n|
נ|א|ו|ק|י|	n|a|o|k|i|
פ|ו|ל|י|ט|י|ק|ל|	p|o|l|i|t|i|c:a|l|
ק|ו|א|ש:י|מ|א|	k:u|w|a|s:h:i|m|a|
ס|י|מ:י|א|ן|	s|i|m|e|o:n|
א|ת|י|ו|פ|י|א|ן|	e|t:h|i|o|p|i|a|n|
ת|י|ו|ד|ו|ר|ו|ס|	t:h|e|o|d|o|r|o|s|
ק|א|ר|ד|ו|ס|ו|	c|a|r|d|o|s|o|
ס|ק|י|	s:e|k|i|
פ|א|נ|ו|ס|	f|a|n|o:u|s|
ג|ו:ו:א|ר|א|	g:u:e|v:a|r|a|
ר|י|נ|ז|ו|	r|e|n|z|o|
מ|א|ט|א|ו|	m|a|t:t|e|o|
י|א|מ|א|ד|א:י|י|ב|	y|a|m|a|d|a|y|e:v|
א|ב|א|ל|ו|ן|	a|v|a|l|o|n|
ק|י|י|ט|א|	k|e|i|t|a|
ל|ו|ך|	l|o|c:h|
ק|ב|א|ס|נ|א|ק|	k|v|a|s|n|a|k|
ב|ו|ל|נ|ט|	b|u|l:e|n|t|
ש:י|ל|א|	s:h:i|l:l|a|
ב|א|נ|א|ך|	b|a|n|a|c:h|
ג|י|ד|י|ס|	g|e|d:d|e|s|
ת:מ|י|ם|	t:a:m|i|m|
א:י|נ|ט|ר|פ|ו|ל|	i|n|t|e:r|p|o|l|
ש|א|נ|ד|ו|נ|ג|	s:h|a|n|d|o|n|g|
ק|א|פ|ו|ר|	k|a|f|u|r|
ב|א|ל|ק|א|נ|ז|	b|a|l|k|a|n|s|
פ|א|ט|פ|א|ט|	f|a|t|f|a|t|
ה|א|מ|א|ג|ו|צ:'|י|	h|a|m|a|g|u|c|h:i|
ע:א|ס|י|	a|s|i|
ס|ר|י|	s|a:r|i|
ע:א|מ|ר|	a|m:e|r|
נ|ו|ד|ל|מ|א|ן|	n|u|d:e|l|m|a|n|
מ|א|ק:ס|י|ם|	m|a|x|i|m:e|
פ|ו|ר|ט|ו|י|ן|	f|o|r|t|u|y|n|
ק|א|ר|ו|	c|a|r:e|w|
ק|ו|ב|ל|נ|ז|	k|o|b|l:e|n|z|
ק|י|ר|ו|ס|	k|y|r|o|s|
ב|י|ר|ז|ו|ט|	b|e|a:r|z|o|t|
ט|ר|א|פ|א|נ|י|	t|r|a|p|a|n|i|
ג:':ו|נ:ז|	j:o|h:n:s|
פ|י|י|	f:a|y|e|
מ|י|ל|ג:'|ו|נ|א|	m|i|l|j|o:o|n|a|
ס:י|ג|א|ל|	s:e:a|g|a|l|
ס|ט|א|נ|ד|פ|י|ס|ט|	s|t|a|n|d|f|e|s|t|
א:י|מ:א|	e|m:m:a|
ש|מ|י|ר|	s:h:a|m|i|r|
ק|א|נ|ד|י|ד|	c|a|n|d|i|d:e|
ג|פ|ן|	g:e|f:f|e:n|
מ|ו|ר|ו|ז|ו|ב|	m|o|r|o|z|o|v|
ו|י|ל|ק|י|נ|ז|	w|i|l|k|i|n|s|
ה|י|ל|ג|א|	h|e|l|g|a|
ב|נ:י|ט|ו|	b:e|n:n:e|t|e:a:u|
ד:ו|ל|י|ט|ל|	d:o:o|l|i|t:t|l:e|
מ|ד|ל|י|ד|ל|י|	m|d|l|e|d|l|e|
ב|י|ר|נ|ו|ל|י|	b|e|r|n|o:u|l:l|i|
ק|ר|י|ס|ט|ו|ף|	k|r|i|s|t|o|f|
ט|ו:מ|ס|ו|ן|	t|h:o:m|s|o|n|
ה|י|א|ל|מ|א|ר|	h|j|a|l|m|a|r|
ה:ו|ב|א|ר|ד|	h:u:b|b|a|r|d|
פ|ו|ל|ו|ק|	p|o|l:l|o|c:k|
ו|י|ל|א|נ|ד|	w|i|l|a|n|d|
ס|ע|י|ד|	s|a|i|d|
ל|ו|ל|י|א|	l|u|l|e|a|
ס|נ|ט|ו|ר|י|	c:e|n|t|a:u|r|i|
פ|א|ג|א|נ|י|נ|י|	p|a|g|a|n|i|n|i|
ק|ל|א|ו|ס|	c|l|a|u|s|
ו|י|ל|א|ז|ק:י|ז|	v|e|l|a|z|q:u:e|z|
ר|ו|נ|ן|	r|o|n:e|n|
מ|ו|ר|י|ן|	m:a|u|r:e|e|n|
ס|ט|י|פ|ן|	s|t|e|f:f|e:n|
מ|ו|נ|ט|	m|o|n|t:t|
ה:א|ב|י|ל|א|נ|ד|	h|a:v|i|l:l|a|n|d|
ר|א|מ|א|ג|'|	r|a|m|a|g|e|
ב|ט|ר|ו|ן|	b:a|t|r|o:u|n|
ר|ו|ד|ו|ל:ף|	r|u|d|o|l:p:h|
ז|א|י|ר|י|	z|a|i|r|i|
ו|י|א|ז|מ|א|	v|y|a|z|m|a|
ב|ר|א:י|נ|ט|	b|r|y|a:n|t|
ט|ר|א|פ|א|ל|ג|א|ר|	t|r|a|f|a|l|g|a|r|
מ|ו|צ|א|ר|ט|	m|o|z|a|r|t|
ר|פ|א|ל|	r:a|f:a|e|l|
ז|י|ק|ו|	z|i|c|o|
ק:י:י|ס|י|	k:a|s:e|y|
ש|נ|א|י:ד|ר|	s|n|e|i:j:d|e:r|
ס|א|ר|ו|ט|	s|a|r|r:a:u|t:e|
ס|י|י|ג:':י|	s|e|i|j:i|
מ|א|ל|פ|ו|י|	m|a|l|f|o|y|
צ|':ו|ט|ו|ס|	c|h:o:u|t|o|s|
מ|ו|ר|י|ה|י|ר|ו|	m|o|r|i|h|i|r|o|
א:ו|ש|ו|	o|s:h|o|
ק|א|ל|ד|י|ר|ו|ן|	c|a|l|d|e|r|o|n|
ק|י|נ:י|ד|י|	k|e|n:n:e|d|y|
ס|ט|י|ל|ר|	s|t|i|l:l|e:r|
נ|ו|ב|ו|ט|ל|	n|o|v|o|t|e:l|
ט|א|ק|א|י|א|מ|א|	t|a|k|a|y|a|m|a|
מ|א|ס|י|נ|ג|א|	m|a|s|i|n|g|a|
ק|ו|ל|מ|א|ר|	c|o|l|m|a|r|
א|ל|ק|ט|ר|א|	e|l:e|k|t|r|a|
ק|א|ר|י|	c|a|r:e|y|
א|ר|י|ק|ס|ו|ן|	e|r|i|k|s|o|n|
א|ל|ע|ל|ו|א|נ|י|	a|l|a|l|w|a|n|i|
ש|ק|ל|ו|ב|ס|ק|י|	s:h|k|l|o|v|s|k|y|
ע:ק|ל|	a:q:e|l|
א|ב|נ|ר|	a|v|n|e:r|
א|נ|א|ס|ט|י|י:ז:'|ה|	a|n|a|s|t|a|s:i|a|
מ|א|ק|ד|ו|נ|א|ל|ד|	m|a|c|d|o|n|a|l|d|
פ|נ|ק|ו|ס:ט|	p|a:n|c|o|a:s:t|
ס|פ|א:ק:ס|	s|f:a|x|
א:י|ד|ר|י|ס|	i|d|r|i|s|
ג|ו|נ|ז|א|ל|ו|	g|o|n|z|a|l|o|
ס|ט|י|ל|מ:א|ט:ש|	s|t|e|l|m|a:c:h|
י|ו|י|צ:'|י:ר|ו|	y|o|i|c:h:i|r|o|
פ|ו|ס|ן|	p|o:u|s:s|i:n|
ב|ו|ז|ק|	b|u|z:e|k|
ב|א|מ|ר|ו|נ|ג|	b|a|m|r|u|n|g|
ש|מ:א|ס|	s:h:a|m:m:a|s|
ק|ל:י:י|ר|	c|l:a|i:r|
ס|ט|ר|י|ט|מ|א|ט|ר|	s|t|r|i|t:t|m|a|t:t|e:r|
ג|ו|ל|ד|י|נ|ג|	g|o|l|d|i|n|g|
ס|א|ט|י|א|ג|ר|א|ה|א|	s|a|t|y|a|g|r|a|h|a|
ר|ו|א|נ|י|	r|o:u|a|n|i|
ב|ו|ר|ג|נ|י:ט:ש|	b|u|r|g|n:i|c:h|
ת|י|ו|פ|א|נ|י|ס|	t:h|e|o|f|a|n|i|s|
ק|ו|ר|ב|ר|	c|o|r|v:e|r|
ג|ו|ס|ט|א|ף|	g|u|s|t|a|f|
ס|ט|י|ל|י:א|ן|	s|t|i|l|i:y:a|n|
ו:ר|י:ס|ן|	v:r:e|i:j:s|e:n|
ג|ו|י|ר|א|נ|י|	g|u|i|r|a|n|e|
ת|ו|ר|ו|	t:h|o|r|e:a:u|
ס|א|נ|ג|ו|י|נ|י|ט|י|	s|a|n|g|u|i|n|e|t:t|i|
פ|א|ק:ס|ט:ן|	p|a|x|t:o:n|
י|א|ס|מ|י|ל|א|	j|a|s|m|i|l|a|
ב|ר|י|מ|נ|ר|	b|r|e|m|n|e:r|
ל|י|ב|ר|מ|א|ן|	l|i:e|b|e:r|m|a|n:n|
פ|ו|ל|נ|ד|	p|o|l|a:n|d|
א|ר|ב|י|ל|	a|r|b|i|l|
ד|א|ב|ו|ר|	d|a|v|o|r|
ר|ס|ו|ל|	r:a|s|o:u|l|
פ|א|ס|ט|ו|ר|	p|a|s|t:e|u|r|
ח|ו:ו:א|ט|מ|ה|	h:a|w:a|t|m:e|h|
א:ו|ס|ט|ר|	o|s|t|e:r|
פ|י|ר|ס|	p|e|a:r|c:e|
ט|י|ז|ו|ק|א|	t|e|z|u|k|a|
ק|ו:ל|ה|א|ס|	k|o:o:l|h:a|a|s|
ב|א|נ|ג|ו|ר|א|	b|a|n|g|o:u|r|a|
פ|ר|ו|מ|י|ת|י|ו|ס|	p|r|o|m|e|t:h|e|u|s|
ק|ו|ק|ב|ו|ר|ן|	c|o|c:k|b|u|r|n|
ג:':ו|י|א|	j:o|y|a|
ר|י:א|ן|	r:a|y:y:a|n|
ב|ו|ב|א|ד|י|ל|א|	b|o|b|a|d|i|l:l|a|
מ|י|נ|א|ו|א|נ|ד|	m|i|n|a|v|a|n|d|
ג|ו|ג|ל|י|ל|מ|ו|	g|u|g|l|i|e:l|m|o|
ב|ו|ר|ג|ו|	b|o|r|g|o|
ד|א|ל|מ|א|ן|	d|a|h:l|m|a|n|
ש|ה|ז|א|ד|	s:h:e|h|z|a|d|
ד|ו|ג|ר|י|י|	d|o:u|g|r|a|y|
ה|י|ג|ל|	h:e|i|g|l|
ה|מ|ס|ו|ן|	h:a|m|s|u|n|
מ|ו|ר|י|ט|א|	m|o|r|i|t|a|
ס|ו|ר|י|	s|u|r:e|e|
פ|י|נ|ק|ל|ס|ט|א|י|ן|	f|i|n|k|e:l|s|t|e|i|n|
ד|א|נ|ר|	d|a|n:n|e:r|
ב|ל|י|ו|ן|	b:e|l:l|i|o|n|
ס|ו:י|ד|	s|w:e:i|d|
ק|א|פ|י|ק|י|	c|a|p|e|c:c:h|i|
ג|א|ל|א|נ|ד|	g|a|l:l|a|n|d|
ס|י|א|נ:א|	s|i|e|n:n:a|
פ|ו|ס|י|	f:a|u|c|i|
ד|ב|א|ס|	d:e:b|b|a|s|
ב|ו|מ|י|ס|	b|o|m|i|s|
ג|א|ר|י|ב|	g:h|a|r|i|b|
ח|א:ג:'|	h:a|d:j|
ה:א|נ|ט|	h|u:n|t|
ג:'|פ|י|ר|ס|ו|ן|	j:e:f|f|e|r|s|o|n|
ג|א|ל|ו:ו:א|נ|י|	g|a|l|v:a|n|i|
ק|א|ר|ט|י|י|ה|	c|a|r|t|i|e|r|
ג:'|ר|מ:י|	j|e:r|e:m:y|
ט|ר|י|ס|ט|	t|r|i:e|s|t:e|
ס|א|ר|פ|י|י|	s|a|r|p|e|i|
ה|ו|ס|י|ן|	h|o|c|i|n:e|
מ|א|ל|ו|ן|	m|a|l|o|n:e|
א|ס|ד|	a|s:a|d|
ב|י|ן|	b|i|n|
מ|ו|ע:י|ן|	m|u|i|n|
מ|י|ט|ש|ל|	m|i|t|c:h:e|l|
ש|א|מ|י|ל|	s:h|a|m|i|l|
ב|ר|נ|א|ר|	b:a|r|n|a|r:d|
ק|ו|ז|מ|י|ן|	c|o|s|m|i|n|
ב|ו|י|נ|ו|	b|u|e|n|o|
מ|ו|ר|א|נ|ו|	m|u|r|a|n|o|
ק|ל|י|ב|י|	k|l|i|b|i|
ב|ו|ר|ו|נ|ד|י|	b|u|r|u|n|d|i|
ט|י|ל|ד|א|	t|i|l|d|a|
נ|ס|י|ם|	n:a|s|i|m|
מ|א|ק:ס|מ|ל:י|א|ן|	m|a|x|i:m|i:l:i|e|n|
ס|י|ה|א|ו|ו|נ|ג|	s:e|e|h|a|w|o|n|g|
ג|ר|ט|י|	g|e:r|t|y|
ד|ג:':ו|ק|ו|ב|י:ט:ש|	d|j:o|k|o|v|i:c|
מ|י|ט|י:ר|א:ן|	m|i|t:t|e:r:r|a:n:d|
ס|נ|ו:ע|	s:a|n|u|
ה|א|נ|ס|י|	h|a|n|s|i|
נ|א|ט|א|ל|י|	n|a|t|a|l|i:e|
ה|א|י|ד|י|	h|e|i|d|i|
ה|י:ו|ט|ו|ן|	h|u|g:h:t|o|n|
א|ב|ר|י|ל|	a|v|r|i|l|
ק|ל|א|ו|ד|י|א|	c|l|a|u|d|i|a|
פ|י|ו|ט|ר|	p|i|o|t|r|
מ|י|ל|ו|ט|י|נ|ו|ב|י:ט:ש|	m|i|l|u|t|i|n|o|v|i:c|
ל|א|ז|י|ו|	l|a|z|i|o|
ד|ר|א|ז|י|ן|	d|r|a|z|e|n|
ל|ו|ק|ז|א|ק|	l|u|c|z|a|k|
ג|ר|ו|ב|	g|r|o|v:e|
ג:י|צ:'|י|	g:i:i|c|h:i|
ב|ר|א|נ|ס|ו|ן|	b|r|a|n|s|o|n|
ר|א|נ|ד|י|	r|a|n|d|y|
ג:':ו|ד|י|ת|	j:u|d|i|t|
מ|י|מ:ו|ן|	m|i|m:o:u|n|
ו|י|נ|ס|ל:ו|	w|i|n|s|l:o:w|
ק|ו|פ|ו:ר|	k|u|f|u:o:r|
ט|ו|ב|	t|o|v|
ו|י|ט|	w|i|t:t:e|
ז|א|י|ד|י|ה|	z|a|i|d:i:y|y:a|h|
פ|ו|ט|ו|מ|א|ק|	p|o|t|o|m|a|c|
ס|ט|א|ד|	s|t|a|d:e|
ס|פ|י|ל|י|נ|ג|	s|p|e|l:l|i|n|g|
ה|א|ט|א|	h|a|t|a|
ק|ו|ר|ד|ל|	c|o|r|d:e|l:l|
א:ו|ה|י|ו|	o|h|i|o|
פ|ר:א|ש:א|	p|r:u:s|s:i:a|
ה|א|י|ד|ן|	h|a|y|d:e|n|
ט|ו|מ:א|ס|ו|	t|o|m:m:a|s|o|
ח|ד|א|ד|	h:a|d|a|d|
ש|י|כ|א|ו|י|	c:h|i|k:h|a|o:u|i|
מ|י|ט|ס|ו|	m|e|t|s|u|
ק|א|ל|א|ף|	k|a|l|a|f|
ה|י|ל|י|ב|ו|י|ק|	h|e|l:l|e|b|u|y|c:k|
מ|ו|ח|ט|א|ר|י|	m|o|k:h|t|a|r|i|
