ஆ கலே லாக் ஜா	aa gale lag ja
பால்கன்	balkan
பால்கிருஷ்ணா	balkrishna
பாலகிருஷ்ணா இண்ட்	balkrishna ind
பால்	ball
பல்லாப்கார்	ballabgarh
பல்லலேஷ்வர்	ballaleshwar
பல்லாரி	ballari
பாலி	balli
பால்லி	balli
பால்மோகன்	balmohan
பல்ராம்	balram
பல்ராம் ஸ்ரீகிருஷ்ணா	balram shrikrishna
பல்சாமண்ட்	balsamand
பலுகான்	balugan
பலுரான்	baluran
பல்வீர்	balveer
பல்வாரா	balwara
பாலயோகி உபமன்யு	balyogi upmanyu
பமகோ	bamako
பமன்ஹேரி	bamanheri
பம்பை கா பாபு	bambai ka babu
பம்பை கா மஹராஜா	bambai ka maharaja
பம்பை கி பில்லி	bambai ki billi
பாம்ரா	bamra
பாம்சின்	bamsin
பனஜித்	banajit
பனமாலா	banamala
பானார்	banar
பனாரசி துக்	banarasi thug
பானாராட்	banarhat
பானாசண்ட்ரா	banasandra
பாங்கோ டூ பிராஸில்	banco do brasil
பேங்க்ராஃப்ட் ப்ரைஸ்	bancroft prize
பேண்ட் மாஸ்டர்	band master
பாண்டா ஜங்ஷன்	banda junction
பந்தன்	bandhan
பந்தன் அஞ்சனா	bandhan anjana
பந்து	bandhu
பந்தினி	bandini
பந்திபூர்	bandipur
பண்ட்ரா டெர்மினஸ்	bandra terminus
பந்துலா வர்ணபூரா	bandula warnapura
பண்டூரா	bandura
பான்ஃப்	banff
பாங்கா	banga
பெங்களூர்	bangalore
பெங்களூர் சிட்டி ஜங்ஷன்	bangalore city junction
பங்கார்பேட்	bangarapet
பங்ரோட்	bangrod
பன்ஹிஷிகா	banhishikha
பனி	bani
பானி	bani
பஞ்சரன்	banjaran
பஞ்சரே	banjare
பேங்க் ஆப் அமெரிக்கா கார்ப்பரேட் சென்டர்	bank of america corporate centre
பேங்க் ஆப் அமெரிக்க பிளாஸா	bank of america plaza
பேங்க் ஆப் சைனா	bank of china
பேங்க் ஆஃப் பஞ்சாப்	bank of punjab
பேங்க் ஒன் டவர்	bank one tower
பங்கா	banka
பங்காடா	bankata
பங்கே சன்வாரியா	banke sanwaria
பாங்கேபிஹாரி	bankebihaaree
பாங்கேபிஹாரி	bankebihaari
பாங்கேபிஹாரி	bankebiharee
பங்கிம்சந்திரா	bankimachandra
பங்கிம்சந்திரா	bankimchandra
பங்கிம்சந்திர சாட்டர்ஜி	bankimchandra chatarjee
பன்மங்கி ஜங்ஷன்	banmankhi junction
பன்னோ	banno
பன்பூல்	banphool
பன்சால்	bansal
பன்சாரி பாலா	bansari bala
பன்ஸீலால்	banseelaal
பன்ஸீலால்	banseelal
பன்ஷ்லாய் ப்ரிட்ஜ்	banshlai bridge
பன்சி பிர்ஜு	bansi birju
பன்ஸி பஹர்பூர்	bansi paharpur
பன்ஸீலால்	bansilal
பன்ஸிபூர்	bansipur
பன்ஸ்தாலி நிவாய்	bansthali niwai
பன்ஸுரி	bansuri
பானுத்	banud
பான்வெத்	banwet
பேன்யன்	banyan
பான்யார்ட்	banyard
பவோரி திக்ரியா	baori thikria
பாபத்	bapat
பபாட்லா	bapatla
பாகி	baqi
பாக்கிர்	baqir
பராபங்கி	barabanki
பராபம்	barabhum
பாரதாரி	baradari
பாராகோன்	baragaon
பராய்க்ராம் ஜங்ஷன்	baraigram junction
பராகா	barakah
பாரான்	baran
பாரார்	barar
பராரா	barara
பாராரா	barara
பாராசாட்	barasat
பரத்	barath
பார்பரா ஸ்டான்விக்	barbara stanwyck
பார்ச்சி ரோட்	barchi road
பார்கிளேஸ்	barclays
பர்த்தமான் ஜங்ஷன்	barddhaman junction
பரேலி	bareilly
பர்கார் ரோட்	bargarh road
பார்ஹான்	barhan
பார்ஹார்வா ஜங்ஷன்	barharwa junction
பாரி ப்ராஹ்மன்	bari brahman
பாரிந்த்ரா	barindra
பேரியம்	barium
பர்காத்	barkaat
பர்கன்டி	barkandi
பர்க்கா	barkha
பர்க்கா பஹர்	barkha bahar
பார்க்ஸ்	barks
பர்கூர்	barkur
பார்னெட்	barnett
பார்னே ரோஜர்ஸ்	barney rogers
பார்ன்ஸ்டேபிள்	barnstable
பரோக்	barog
பரூத்	barood
பர்பாலி	barpali
பர்பேட்டா ரோட்	barpeta road
பார்கி	barqi
பார்ரோ	barrow
பேரி மனிலோ	barry manilow
பர்ஸாத்	barsaat
பார்ஸி தக்லி	barsi takli
பார்சோய் ஜங்ஷன்	barsoi junction
அப்ருஆ	barua
பருண்	barun
பாருவா	baruva
பார்வே	barve
பார்வாடி ஜங்ஷன்	barwadih junction
பர்ஜாஹ்	barzah
பர்ஸாபி	basabi
பசந்த் பஹர்	basant bahar
பசந்த் பஞ்சமி	basant panchami
பசவ சாகர் டேம்	basava sagar dam
பசேரே கி ஹூர்	basere ki hoor
பஷீர்	bashir
பஷீரா	bashirah
பஸீமா	basimah
பேஸ்கட்பால் ஹால் ஆஃப் ஃபேம்	basketball hall of fame
பாஸ்மத்	basmat
பஸ்ரா	basra
பஸ்ஸி	bassi
பாஸ்டா	basta
பஸ்தர்	bastar
பஸ்தி	basti
பட்டாலா ஜங்ஷன்	batala junction
பேட்ஸ்	bates
பதோன் பதோன் மெயின்	baton baton mein
பதூல்	batool
படு டேம்	batu dam
பாடுக்	batuque
பத்வாரா	batwara
பவுத்	baudh
பௌத்	baudhdh
பாவல்	bawal
பவானி கேரா	bawani khera
பாவூ	bawoo
பயானா ஜங்ஷன்	bayana junction
பாயர் இந்தியா	bayer india
பஸூபந்த்	bazooband
பீஸ்	beas
பீவர்ஹெட்	beaverhead
பேவர்டன் கிறிஸ்டியன்	beaverton christian
பேபஸ்	bebus
பெக்ஸ் ஃப்யூச்சர்ஸ்	beck's futures
பெதேகர்	bedekar
பெதேட்டி	bedetti
பெட்ஃப்போர்டு	bedford
பேடி	bedi
பீட்	beed
பீனா	beena
பீராசிங்	beerasinh
பீஸ்வி சாதி	beesvi sadi
பேகு சராய்	begu sarai
பெகுயின்	beguine
பெகுனா கய்தி	begunah qaidi
பெஹன்	behan
பேட்டாகோகுல்	behtagokul
பெய்ஜிங்	beijing
பெக்ரார்	bekrar
பேலா	bela
பேலா தால்	bela tal
பெல்பாஸ்ட் சிட்டி	belfast city
பெல்ஜியம்	belgium
பெலிசாரியோ டோமினிக்வெஸ் மெடல் ஆஃப் ஹானர்	belisario dominguez medal of honor
பெல்லேவு கிறிஸ்டியன்	bellevue christian
பெல்சௌத்	bellsouth
பேல்தாரா ரோட்	belthara road
பென்போ	benbow
பெனெடெட்டோ பிரின்	benedetto brin
பெங்காளி	bengali
பெனின்	benin
பெனிட்டோ ஜாரெஸ்	benito juarez
பென்னட்	bennett
பென்னிங்டன்	bennington
பியோஹரி	beohari
பெராஹம்	beraham
பெராஹம் தாக்கு	beraham daku
பெர்ச்டெஸ்கார்டன்	berchtesgaden
பெர்ஜர் பெயிண்ட்ஸ்	berger paints
பேரி	beri
பெர்கேலியம்	berkelium
பெர்லின்	berlin
பெர்னார்ட் ஜூலியன்	bernard julien
பெர்ரியன்	berrien
பெர்ரி ஹெட் ஃப்போர்ட்	berry head fort
பெர்ட் வான்சி	bert vance
பெஷாக்	beshaque
பெஷாரம்	besharam
பேடாவாட்	betavad
பீடெல்ஸ்மன்	betelsmann
பெதேல் அபோஸ்தொலிக்	bethel apostolic
பெத்லஹம் லுதெரன்	bethlehem lutheran
பேடி பேடி	beti bete
பெட்டே டேவிஸ்	bette davis
பெவ் காங்டன்	bev congdon
பேவஃப்பை	bewafai
பெக்ஸார்	bexar
பாலசந்தர்	bhaalachandr
பாங்கு	bhaangu
பானுமுகி	bhaanumukhee
பாரத்	bhaarat
பாரதி	bhaaratee
பாத்வதேகர்	bhaatvadekar
பாப்பார்	bhabhar
பாபி	bhabhi
பச்சாவ்	bhachau
பாதன்	bhadan
பத்லி	bhadli
பாத்ராக்ஷா	bhadraaksha
பத்ராசலம்	bhadrachalam
பாத்ரக்	bhadrak
பாத்ராக்	bhadrak
பாத்ராக்ஷ்	bhadraksh
பாத்ராக்ஷா	bhadraksha
பத்ரான்	bhadran
பத்ரீஷ்	bhadresh
பகம் பாக்	bhagam bhag
பகவான்	bhagavaan
பகவத்	bhagavat
பகேகா	bhagega
பாகீரத்	bhagirath
பாகிரதி	bhagirathi
பக்தா	bhagta
பகவந்தி	bhagwanti
பகவத் மஹிமா	bhagwat mahima
பகவதி	bhagwati
பாக்யவான்	bhagyawan
பாக்யவதி	bhagyawati
பாய் பஹேன்	bhai bahen
பாய் பாய்	bhai bhai
பாய் ஹோ தோ ஏசியா	bhai ho to asia
பாய் ஜான்	bhai jaan
பாய் கா பியார்	bhai ka pyar
பாய் சாஹேப்	bhai saheb
பயினி குர்த்	bhaini khurd
பையாலால்	bhaiyaalaal
பஜன்	bhajan
பஜராம்	bhajaraam
பக்த் துருவ் குமார்	bhakt dhruv kumar
பக்த் சுர்தாஸ்	bhakt surdas
பக்த கபிர்	bhakta kabir
பக்தி நகர்	bhakti nagar
பால மனுஸ்	bhala manus
பாலே	bhale
பலேராவ்	bhalerao
பல்லா	bhalla
பாம்	bham
பாம்ப்ரா	bhambhra
பாம்ரா	bhamra
பானா	bhana
பாந்தபே	bhandape
பாங்கு	bhangu
பானுதாஸ்	bhanudas
பானுபிரசாத்	bhanuprasad
பன்வரா	bhanwara
பாப்பா	bhapa
பரணி	bharani
பரத் அருண்	bharat arun
பாரத் எலக்ட்ரிகல்ஸ்	bharat elec
பாரத் ஃபோர்ஜ்	bharat forge
பாரத் கே ஷஹீத்	bharat ke shaheed
பாரத் கி சந்தான்	bharat ki santaan
பாரத் குப்	bharat kup
பாரத் சமாச்சர்	bharat samachar
பரத் ரெட்டி	bharath reddy
பாரத்குந்த்	bharatkund
பாரத்முனி	bharatmuni
பரத்பூர் ஜங்ஷன்	bharatpur junction
பார்த்வாஜ்	bhardwaj
பர்டேண்டு ஹரிஷ்சந்திரா	bhartendu harishchndra
பர்த்தானா	bharthana
பாரதி ஏர்	bharti air
பாரதிய	bhartiya
பட்	bhat
பட்டேல்	bhatel
பாட்டின்டா	bhatinda
பட்டிண்டா ஜங்ஷன்	bhatinda junction
பட்ணி ஜங்ஷன்	bhatni junction
பட்பூர்	bhatpur
பட்டூ	bhattu
பவன்	bhavan
பவானி நகர்	bhavani nagar
பவானிசாகர் ரிசர்வாயர்	bhavanisagar reservoir
பாவே	bhave
பாவினி	bhavini
பாவ்னா	bhavna
பாவ்நகர்	bhavnagar
பாவ்நகர் டெர்மினஸ்	bhavnagar terminus
பாவாபூட்டி	bhawabhooti
பவானி பட்டாச்சார்யா	bhawani bhattacharya
பவானிபூர் காலன்	bhawanipur kalan
பயானக்	bhayanak
பயவதார்	bhayavadar
பீடே	bheede
பீகி பால்கன்	bheegi palken
பீகி ராத்	bheegi raat
பீம்	bheem
பீமராஜ்	bheemaraaj
பீம்பூரா	bheempura
பீஷ்ம	bheeshm
பெந்தே	bhende
பேஸ்னா	bhesana
பிக்வான்	bhigwan
பிலாத்	bhilad
பிலாய் பவர் ஹவுஸ்	bhilai power house
பிலாவ்டி	bhilavdi
பில்டி	bhildi
பில்வாரா	bhilwara
பீம் கர்ஜனா	bhim garjana
பிமர்லாய்	bhimarlai
பிமாசர்	bhimasar
பிந்தர்	bhindar
பிடவுரா	bhitaura
பிடிவாலா	bhitiwala
பிவாண்டி ரோட்	bhiwandi road
பிவானி	bhiwani
போக்லே	bhogle
போஜிபூரா ஜங்ஷன்	bhojipura junction
போஜோ	bhojo
போஜுதி ஜங்ஷன்	bhojudih junction
போக்கே	bhoke
போலா பாலா	bhola bhala
போலா ஷங்கர்	bhola shankar
போலி	bholi
போனே	bhone
பூக்	bhookh
பூமி	bhoomi
பூஷன்	bhooshan
பூஷித்	bhooshit
பூத் மேரா சாதி	bhoot mera saathi
போப்பால்	bhopal
போபத்கர்	bhopatkar
போர்	bhore
பெளன்	bhoun
போரா	bhoura
பிரஷ்டசார்	bhrashtachar
புவனேஸ்வர்	bhubaneswar
பூதேவ்	bhudev
புத்ராஜ்	bhudraj
புல்லர்	bhullar
புலோன்	bhulon
புமிகா	bhumika
பூபால்சாகர்	bhupalsagar
பூபிந்தர்பால்	bhupinderpal
புப்பால்	bhuppal
பூரண்யூ	bhuranyu
புசாவல் ஜங்ஷன்	bhusaval junction
பூதேஷ்	bhutesh
புவன்	bhuvan
புவன் ஷோம்	bhuvan shome
புவனேஸ்வரி ஹிண்டு	bhuvaneswari hindu
பீபாஸ்	bibhas
பிச்சியா	bichia
பிதாய்	bidai
பிடான்பூர்	bidanpur
பிதார்	bidar
பிக் ஆப்பிள்	big apple
பிகாபூர்	bighapur
பீஹார்	bihar
பிஹியா	bihiya
பிஜாய்நகர்	bijainagar
பிஜபூர்	bijapur
பிஜப்பூர்	bijapur
பிஜாபூர்	bijapur
பிஜய்சோட்டா	bijaysota
பிஜ்லி	bijli
பிஜ்லி சம்கே ஜமானா பர்	bijli chamke jamana par
பிஜோலியா	bijolia
பிஜூர்	bijoor
பிஜ்ரோத்தா	bijrotha
பிஜங்ஷனோர்	bijunctionor
பிகான்நெர்	bikaner
பிக்கானெர் ஜங்ஷன்	bikaner junction
பைக் ரேசிங்	bike racing
பிகாரே மோதி	bikhare moti
பிலால் ஆசாத்	bilal asad
பிலாஸ்பூர்	bilaspur
பிலாஸ்பூர் ஜங்ஷன்	bilaspur junction
பிலாஸ்பூரி	bilaspuri
பில்ஹார் காட்	bilhar ghat
பில்ஹாவுர்	bilhaur
பில் கிளிண்டன்	bill clinton
பில் கேட்ஸ்	bill gates
பில்பூர்	bilpur
பில்கிஸ்	bilqis
பில்வாய்	bilwai
பிமலா	bimala
பின் மா கே பச்சேய்	bin maa ke bhachchey
பினா ஜங்ஷன்	bina junction
பிந்தியா	bindiya
பிந்தியா ஔர் பேண்டூக்	bindiya aur bandook
பிந்தியா சம்கேகி	bindiya chamkegi
பிண்ட்கி ரோட்	bindki road
பிந்த்ரா	bindra
பிந்துசர்	bindusar
பிங் க்ராஸ்பி	bing crosby
பிங்காம்	bingham
பின்னகுரி	binnaguri
பயோகெமிஸ்டிரி	biochemistry
பையோகெமிஸ்டிரி	biochemistry
பயோகான்	biocon
பையோபிராகிரெஸ்	bioprogress
பிபின்	bipin
பிர்	bir
பீர்	bir
பிர் பிக்ரம்	bir bikrom
பிர் உத்தம்	bir uttom
பிராத்வால்	biradhwal
பிரஜ் பாஹு	biraj bahu
பிர்ஜு உஸ்தாத்	birju ustad
பிர்லா	birla
பிர்லா டயர்ஸ்	birla tyres
பிர்லாசாஃப்ட்	birlasoft
பிர்மிங்கம்	birmingham
பிர்மித்ராபூர்	birmitrapur
பிரோலியா	biroliya
பிர்	birr
பிரூர் ஜங்ஷன்	birur junction
பிஸ்கேன்	biscayne
பிஷான் சிங் பேடி	bishan singh bedi
பிஷானி	bishani
பிஷன்பால்	bishanpal
பிஷாரா	bisharah
பிஸ்மில்லா கி பர்கத்	bishmillah ki barkat
பிஷ்ணுபூர்	bishnupur
பிஷப்	bishop
பிஷ்ர் அல்-ஹாஃப்பி	bishr al-hafi
பிஷ்ராம்பூர்	bishrampur
பிஸ்லா	bisla
பிஸ்முத்	bismuth
பிஸ்வான்	biswan
பிட்டேரூட்	bitterroot
பிட்டி	bitti
பிவி ஔர் மக்கன்	biwi aur makan
பிவி கிரயே கி	biwi kiraye ki
பிளாக்	black
பிளெய்ர் ஹார்ட்லாண்ட்	blair hartland
பிளாண்ட்	bland
பிளீச்	bleach
பிளாக் ஐலாண்ட்	block island
பாப் ஹோப்	bob hope
பாப் மாஸ்ஸி	bob massie
பாப் பேக்வுட்	bob packwood
பாப் ஸிம்ப்சன்	bob simpson
பாப் வுல்மெர்	bob woolmer
போகா ரடோன் கம்யுனிட்டி	boca raton community
போதாஸ்	bodas
போடேலி	bodeli
போத்கயா	bodhgaya
போத்ரான்	bodhran
போட்வாட்	bodwad
பாடி பில்டிங்	body buliding
பொகோதோ	bogota
போகதே	bokade
பொலான்கிர்	bolangir
பொலாரம்	bolarum
போலெரோ	bolero
போலிவியானோ	boliviano
பொலிங்கர்	bollinger
பாம்பே டையிங்	bombay dyeing
பாம்பே கா மஹராஜா	bombay ka maharaja
பாம்பே கி பில்லி	bombay ki billi
பாம்பே மஸ்ஜித்	bombay masjid
பாம்பே ராத் கி பஹோன் மெயின்	bombay raat ki bahon mein
பாம்பே சமாச்சர்	bombay samachar
பாம்பே டவுன்	bombay town
பாம்பே வார்	bombay war
பொம்மிடி	bommidi
பான்செல்லெஸ் ஃப்போர்ட்	boncelles fort
பான்சுனெ	bonchune
போன்ஸ்டெல்	bonestell
பொங்கைகான் ரிஃபைனரிஸ்	bongaigaon ref
போனட் பிளம்	bonnet plume
பான்ஸ்கோ எலக்டிரானிக்ஸ் இன்டர்நேஷனல்	bonso electronics international
போனி ப்ளேர்	bony blair
பூகி வூகி	boogie woogie
பூம்ப்ஸ்-ஆ-டெய்ஸி	boomps-a-daisy
பூண்ட் ஜோ பன் கயீ மோடி	boond jo ban gayee moti
பூர்தி-ஸாஃப்பர்	boordhi-zaffer
பூட் பாலிஷ்	boot polish
போபாரை	boparai
போர்காவூன்கர்	borgaonkar
போரிஸ் எல்சின்	boris yeltsin
போரிவாலி	borivali
போர்கர்	borkar
பார்னியோ	borneo
பார்ன்ஹெம் ஃப்போர்ட்	bornhem fort
போரான்	boron
போஷ் சேசிஸ்	bosch chassis
போஷ்பீக் ஃப்போர்ட்	boschbeek fort
போஸ்போரஸ்	bosporus
பாஸ்டன்	boston
பெளடியூ ஓக்ஸ்	bourdieu okz
போய்காஸ்	bouygues
பொசௌக்கி	bouzouki
பெளடென்	bowden
பாய் ஃபிரண்ட்	boy friend
பிராட் ஹாட்டின்	brad haddin
ப்ரஹம்தேவ்	brahamdev
ப்ரஹம்	brahm
ப்ரம்மா	brahma
ப்ரம்மப்ரதா	brahmabrata
பிரஹ்மச்சாரி	brahmachari
ப்ரம்மதத்	brahmadutt
பிரம்மன்ய தேவ்	brahmanya dev
ப்ராண்டீஸ் அவார்ட்	brandeis award
பிரான்டென்பர்க்	brandenburg
பிரன்ட்	brant
பிரசிலியா	brasilia
பிரேசிலியா	brasilia
ப்ரதீந்த்ரா	bratindra
பிரத்ஸ்க்	bratsk
ப்ராய்லா சௌராஸி	brayla chaurasi
பிராஸோஸ்போர்ட் கிறிஸ்டியன் சென்டர்	brazosport christian center
ப்ரேக்கன் பீக்கன்ஸ்	brecon beacons
பிரெண்டன் பிரேஸ்வெல்	brendon bracewell
பிரென்டன் ஜூலியன்	brendon julian
ப்ரெண்டன் குருப்பு	brendon kuruppu
பிரெஸ்ட் ஃப்போர்ட்ரெஸ்	brest fortress
பிரேடக்னெ	bretagne
பிரெட் டோரே	brett dorey
பிரெட் லீ	brett lee
ப்ரயன் லாரா	brian lara
பிரயன் லக்ஹஸ்ட்	brian luckhurst
பிரிக் ஸ்கூல்ஹவுஸ் மியூஸியம்	brick schoolhouse museum
பிரிட்ஜ்	bridge
பிரிட்ஜ்போர்ட் கிறிஸ்டியன்	bridgeport christian
பிரிஜால் பட்டேல்	brijal patel
ப்ரிஜேஷ்	brijesh
பிரிஜேஷ் பட்டேல்	brijesh patel
ப்ரிஜ்மோகன்	brijmohan
பிரிஸ்பன்	brisbon
பிரிஸ்கோ	briscoe
ப்ரிட்டிஷ்	british
ப்ரிட்டிஷ் அகாடமி டெலிவிஷன் அவார்ட்ஸ்	british academy television awards
ப்ரிட்டிஷ் புக் அவார்ட்ஸ்	british book awards
ப்ரிட்டிஷ் பெட்ரோலியம்	british petroleum
பிரிட்டனி	brittany
பிரோசெம் ஃப்போர்ட்	broechem fort
ப்ரோமோ டெங்கர்	bromo tengger
புரூக் வாக்கர்	brooke walker
புரூகிங்ஸ் வெச்லேயன்	brookings wesleyan
புரூக்லின் மியூஸியம்	brooklyn museum
புரூக்ஸ்	brooks
புரவுன்	brown
புரூஸ் ஃபிரெஞ்சு	bruce french
ப்ரூஸ் மெடல்	bruce medal
ப்ரூஸ் ஸ்ப்ரிங்ஸ்டீன்	bruce springsteen
ப்ரூஸ் வில்லிஸ்	bruce willis
புரூஸ் யார்ட்லீ	bruce yardley
பிரக்லே	brucklay
புரூல்	brule
ப்ரூனல் யூனிவர்சிட்டி	brunel university
ப்ரையன் ஸ்ட்ராங்	bryan strang
பு அலி ஷா காலாந்தர்	bu ali shah qalandar
புகரெஸ்ட்	bucharest
பக்ளி	buckley
புடால்பூர்	budalur
புடாபெஸ்ட் பெரிஹெகி	budapest ferihegy
புத்திஸம்	buddhism
பட்டி ஹோலி	buddy holly
பாத்காம்	budgam
புஹாய்யா	buhayyah
புகித் டீகா புலு	bukit tiga puluh
புல்தானா	buldhana
புலேரியாஸ்	bulerias
புல் ரைடிங்	bull riding
புல்லட்	bullet
புனாகென்	bunaken
புனானா	bunanah
புண்டஸ்வெர்டீன்ஸ்ட்க்ரூஸ்	bundesverdienstkreuz
புண்டி	bundi
புந்தி	bundi
புன்டி ஃப்போர்ட்	bundi fort
புகாய்ரா	buqayrah
புராஜ்	buraj
புர்தா	burdah
புர்ஹன்பூர்	burhanpur
புர்ஹார்	burhar
பர்லிங்டன்	burlington
பர்மா ரோட்	burmah road
பர்ரோஸ்	burrows
புஷ்ரா	bushra
புக்ஸார்	buxar
காபோ ஆரஞ்ச்	cabo orange
காக்டோக்டின்	cactoctin
கேட்பரிஸ்	cadbury's
காயேல்	cael
கஹோரா பஸ்ஸா டேம்	cahora bassa dam
கைலீன்	cailean
கைர்ப்ர்	cairbre
கைரோ	cairo
கைட்லின்	caitlin
காஜா	caja
காஜன்	cajon
கால்ஷியம்	calcium
காலியானா	caliana
கேலிகட்	calicut
காலிக்ஸ்	calix
காலீ	callie
காலியோப்	calliope
காலிஸ்டா	callista
காலும்	callum
காலுப்சோ	calupso
கால்வின்	calvin
கால்வின்	calvine
கேம்ப்ரீ	cambree
காம்ப்ரியா	cambria
கேம்ப்ரியா	cambria
கேம்பிரிட்ஜ் ஸ்கூல், இந்திராபுரம்	cambridge school, indirapuram
கான்டென்	camden
கேமரூன்	cameroon
காமில்லா	camilla
கம்பானா	campana
காம்பர்டவுன்	camperdown
காம்பினாஸ்	campinas
கேம்பியான் ஸ்கூல், மும்பை	campion school, mumbai
காம்டெக்	camtek
கேனடியன் இம்பீரியல் பேங்க் ஆப் காமர்ஸ்	canadian imperial bank of commerce
கனடியன் பொயட்ஸ் அவார்ட்	canadian poets award
கனரா பேங்க்	canara bank
கேன்சர் ஔர் குப்த் ரோக்	cancer aur gupt rog
கேன்டாஸ்	candace
கேன்டிஸ்	candice
கேன்த்ரா	candra
கன்னனூர்	cannanore
சான்தாரா	cantara
கேண்டர்பரி க்றைஸ்ட்சர்ச் யூனிவர்சிட்டி காலேஜ்	canterbury christ church university college
காபாராவ்	caparao
கேப் ப்ரேடன்	cape breton
கேப் காட்	cape cod
கேப் பிலாட்டரி	cape flattery
கேப் ஃப்பிரான்டியர் வார்	cape frontier war
கேப் டவுன்	cape town
கேப் டவுன் இன்டர்நேஷனல்	cape town international
கேப் யோர்க்	cape york
காபெல்லன் ஃப்போர்ட்	capellen fort
கேபிடல் டவர்	capital tower
காபூசின்	capucine
காரடாக்	caradoc
காராஃப்	caraf
கேரவன்	caravan
கார்டிஃப் யூனிவர்சிட்டி	cardiff university
கார்கில்	cargill
காரியோகா	carioca
காரிஸா	carissa
கார்ல் பலஃப்பின்	carl bulfin
கார்ல் காச்சோபா	carl cachopa
கார்ல் டக்கெட்	carl tuckett
கார்லா	carla
கார்லி சைமன்	carli simon
கார்லிஸ்லெ	carlisle
கார்லோஸ் காஸ்டனேடா	carlos castaneda
கார்லோ	carlow
கார்மெல் கான்வெண்ட் ஸ்கூல், சண்டிகர்	carmel convent school, chandigarh
கார்மென்	carmen
கேர்மைன்	carmine
கார்னீஜீ மெடல்	carnegie medal
காரோலீனா	carolena
காரோலின்	caroline
கார்பாதியன்	carpathian
காரீ	carrie
கேரியன்	carrieann
கேரியர் ஏர்கான்	carrier aircon
கேரி கிராண்ட்	carry grant
கார்ஸின்	carsyn
கார்டூன் மியூஸியம்	cartoon museum
கார்வெர்	carver
கேரி	cary
காஸ்பர்	casper
கஸ்ஸாரா	cassara
காஸி	cassie
காஸ்டல்பஃப்பிடார்டோ	castelfidardo
கேஸ்டில் ராக்	castle rock
கேட்டர்பில்லர்	caterpillar
கத்தீட்ரல் அண்ட் ஜான் கனான் ஸ்கூல், மும்பை	cathedral and john connon school, mumbai
கேத்தரின் டர்னர்	catherine turner
கேத்தரின் ஜேட்டா ஜோன்ஸ்	catherine zeta - jones
கேத்தி பெட்ஸ்	cathy betts
கேட்ரின்	catrin
கேட்டியோனா	catriona
கால்ஃபீல்ட் கப்	caulfield cup
கெவின் கேர்	cavinkare
காசாண்ட் ஃப்போர்ட்	cawsand fort
சியலச்	ceallach
செசி	cece
செசிலியா	cecelia
செசிலி	cecile
செசிலி	cecily
சிடி	cedi
செட்ரிக்	cedric
செலிபிரேஷன் கம்யுனிட்டி	celebration community
செல்லபெஸ்	cellebes
சென்டன்ட்	cendant
சென்டெக்ஸ்	centex
சென்டிமோஸ்	centimos
சென்ட்ரல் அமெரிக்கா மாயா	central america maya
சென்ட்ரல் பேங்க்	central bank
சென்டிரல் கிரானிக்கல்	central chronicle
சென்ட்ரல் யூரோப்பியன் மீடியா என்டர்பிரைசஸ்	central european media enterprises
சென்ட்ரல் மிச்சிகன் யூனிவர்சிட்டி	central michigan university
சென்சுரியன் பேங்க்	centurion bank
செரம்	ceram
செரிலியா	cerelia
செரி	ceri
செரைஸ்	cerise
கெர்ரோ டீ கார்னிகா	cerro de garnica
சீசர் அவார்ட்	cesar award
சா சா	cha cha
ச்சானி	chaani
ச்சாச்சா ஜிந்தாபாத்	chacha zindabad
சாட்	chad
சாத்	chad
சடோத்தார்	chadotar
சாக்கன்	chaggan
சாஹத்	chahat
சைத்தாலி	chaitali
சஜ்லி	chajli
சாகார்	chakar
சக்தயாளா	chakdayala
சக்கியா	chakia
சாக்	chakk
சக்கார் பே சக்கார்	chakkar pe chakkar
சக்கோரி	chakori
சக்ரா	chakra
சக்ரதாரி	chakradhari
சக்ராஜ் மால்	chakraj mal
சக்ரவுயுக்	chakravyuh
சக்ரி நாரேய்பெட்	chakri nareubet
சக்ஷூ	chakshu
சல் சல் ரே நௌஜவான்	chal chal re naujawan
சாலாக்	chalaak
சாலக்குடி	chalakudi
சால்பாஸ்	chalbaaz
சாலிஸ் பாபா ஏக் சோர்	chalis baba ek chor
சாலிஸ் சோர்	chalis chor
சல்தே சல்தே	chalte chalte
சல்தான்	chalthan
சல்தி கா நாம் காடி	chalti ka naam gaadi
சல்தி கா நாம் ஜிந்தகி	chalti ka naam zindagi
சலு மேரா நாம்	chalu mera naam
சாமான்	chaman
சாமான்லால்	chamanlal
சமரா சில்வா	chamara silva
சம்பல் கி ராணி	chambal ki rani
சமேலி கி ஷாதி	chameli ki shadi
சமேலி மேம்சாப்	chameli memsaab
சமிலா கமகே	chamila gamage
சமிந்தா மெண்டிஸ்	chaminda mendis
சம்கீ	chamkee
சாமோளி	chamoli
சம்பா	champa
சம்பா காளி	champa kali
சம்பாபாதி	champabati
சம்பனேர் ரோட் ஜங்ஷன்	champaner road junction
சம்பாரம்	champaran
சம்ரௌரா	chamraura
சானா	chana
சான்செல்லர்	chancellor
சந்த் ஔர் சுரஜ்	chand aur suraj
சந்த் சகோரி	chand chakori
சந்த் சியாவு	chand siau
சந்தா ஃபோர்ட்	chanda fort
சந்தன் கா பால்னா	chandan ka palna
சந்தன் நகர்	chandan nagar
சந்தனா	chandana
சாந்தானி	chandani
சான்டெல்	chandel
சந்தர்	chander
